source;target;number;playerName;age;position;value;transferFee;season;loanEnd;loanStart;loanFee;sourceOriginal;targetOriginal;transferFeeOriginal
Sportfreunde Hamborn 07;1.FC Saarbrücken;1;Werner Rinas;24;fwd;NA;0;1963;0;0;NA;Sportfreunde Hamborn 07;1.FC Saarbrücken;ablösefrei
Schwarz-Weiß Essen;1.FC Saarbrücken;2;Heinz Steinmann;25;def;NA;NA;1963;0;0;NA;Schwarz-Weiß Essen;1.FC Saarbrücken;?
TuS Neuendorf1;1.FC Saarbrücken;3;Werner Hölzenbein;24;fwd;NA;NA;1963;0;0;NA;TuS Neuendorf1;1.FC Saarbrücken;?
Unbekannt;1.FC Saarbrücken;4;Gottfried Peter;18;mid;NA;NA;1963;0;0;NA;Unbekannt;1.FC Saarbrücken;?
1.FC Saarbrücken;SV Werder Bremen;5;Wolfgang Schwierzke;26;def;NA;NA;1963;0;0;NA;1.FC Saarbrücken;SV Werder Bremen;?
1.FC Saarbrücken;Eintracht Braunschweig;6;Erich Maas;22;fwd;NA;NA;1963;0;0;NA;1.FC Saarbrücken;Eintracht Braunschweig;?
1.FC Saarbrücken;VfR Wormatia Worms;7;Dieter Bedürftig;25;mid;NA;NA;1963;0;0;NA;1.FC Saarbrücken;VfR Wormatia Worms;?
1.FC Saarbrücken;TuS Herrensohr;8;Werner Prauss;29;def;NA;NA;1963;0;0;NA;1.FC Saarbrücken;TuS Herrensohr;?
1.FC Saarbrücken;SV Saar 05 Saarbrücken;9;Klaus Fritzinger;26;def;NA;NA;1963;0;0;NA;1.FC Saarbrücken;SV Saar 05 Saarbrücken;?
Ajax Amsterdam;1.FC Kaiserslautern;10;Co Prins;25;fwd;NA;60000;1963;0;0;NA;Ajax Amsterdam;1.FC Kaiserslautern;60 Tsd. €
1.FSV Mainz 05;1.FC Kaiserslautern;11;Horst-Dieter Strich;22;gkp;NA;0;1963;0;0;NA;1.FSV Mainz 05;1.FC Kaiserslautern;ablösefrei
Rot-Weiß Oberhausen;1.FC Kaiserslautern;12;Wilhelm Wrenger;25;mid;NA;NA;1963;0;0;NA;Rot-Weiß Oberhausen;1.FC Kaiserslautern;?
VfR Wormatia Worms;1.FC Kaiserslautern;13;Harald Braner;19;fwd;NA;NA;1963;0;0;NA;VfR Wormatia Worms;1.FC Kaiserslautern;?
1.FC Kaiserslautern;SV Weingarten;14;Gerhard Settelmeyer;22;fwd;NA;0;1963;0;0;NA;1.FC Kaiserslautern;SV Weingarten;ablösefrei
1.FC Kaiserslautern;Sperre;15;Manfred Feldmüller;23;fwd;NA;NA;1963;0;0;NA;1.FC Kaiserslautern;Sperre;?
1.FC Kaiserslautern;SSV Reutlingen 05;16;Werner Fritschi;30;fwd;NA;NA;1963;0;0;NA;1.FC Kaiserslautern;SSV Reutlingen 05;?
1.FC Kaiserslautern;Unbekannt;17;Gerhard Miksa;27;mid;NA;NA;1963;0;0;NA;1.FC Kaiserslautern;Unbekannt;?
Unbekannt;1.FC Köln;18;Jürgen Rumor;18;def;NA;NA;1963;0;0;NA;Unbekannt;1.FC Köln;?
1.FC Köln;AS Rom;19;Karl-Heinz Schnellinger;24;def;NA;250000;1963;0;0;NA;1.FC Köln;AS Rom;250 Tsd. €
1.FC Köln;SC Viktoria Köln;20;Ernst-Günther Habig;27;fwd;NA;NA;1963;0;0;NA;1.FC Köln;SC Viktoria Köln;?
1.FC Köln;Kickers Offenbach;21;Georg Tripp;22;fwd;NA;NA;1963;0;0;NA;1.FC Köln;Kickers Offenbach;?
SpVgg Fürth;1.FC Nürnberg;22;Karl Schmidt;28;fwd;NA;25000;1963;0;0;NA;SpVgg Fürth;1.FC Nürnberg;25 Tsd. €
VfB Marburg;1.FC Nürnberg;23;Hermann Marchl;21;def;NA;NA;1963;0;0;NA;VfB Marburg;1.FC Nürnberg;?
Unbekannt;1.FC Nürnberg;24;Walter Fladerer;23;fwd;NA;NA;1963;0;0;NA;Unbekannt;1.FC Nürnberg;?
1.FC Nürnberg;FC Lausanne-Sport;25;Peter Engler;26;mid;NA;0;1963;0;0;NA;1.FC Nürnberg;FC Lausanne-Sport;ablösefrei
1.FC Nürnberg;Unbekannt;26;Gerd Prudlo;19;mid;NA;0;1963;0;0;NA;1.FC Nürnberg;Unbekannt;ablösefrei
1.FC Nürnberg;1.FC Pforzheim;27;Friedemann Paulick;20;gkp;NA;NA;1963;0;0;NA;1.FC Nürnberg;1.FC Pforzheim;?
1.FC Nürnberg;Schwaben Augsburg;28;Kurt Haseneder;21;fwd;NA;NA;1963;0;0;NA;1.FC Nürnberg;Schwaben Augsburg;?
Borussia Mönchengladbach;Borussia Dortmund;29;Franz Brungs;26;fwd;NA;NA;1963;0;0;NA;Borussia Mönchengladbach;Borussia Dortmund;?
VfB Oldenburg;Borussia Dortmund;30;Burghard Rylewicz;26;fwd;NA;NA;1963;0;0;NA;VfB Oldenburg;Borussia Dortmund;?
Unbekannt;Borussia Dortmund;31;Manfred Pfeiffer;21;def;NA;NA;1963;0;0;NA;Unbekannt;Borussia Dortmund;?
Borussia Dortmund;Borussia Dortmund;32;Hans-Jürgen Kurrat;18;fwd;NA;0;1963;0;0;NA;Borussia Dortmund U19;Borussia Dortmund;-
Borussia Dortmund;AS Rom;33;Jürgen Schütz;24;fwd;NA;115000;1963;0;0;NA;Borussia Dortmund;AS Rom;115 Tsd. €
Borussia Dortmund;Arminia Bielefeld;34;Gerd Roggensack;21;fwd;NA;NA;1963;0;0;NA;Borussia Dortmund;Arminia Bielefeld;?
Borussia Dortmund;Karriereende;35;Alfred Kelbassa;38;fwd;NA;0;1963;0;0;NA;Borussia Dortmund;Karriereende;-
Borussia Dortmund;Karriereende;36;Wolfgang Peters;34;fwd;NA;0;1963;0;0;NA;Borussia Dortmund;Karriereende;-
Hamburger SV;Eintracht Braunschweig;37;Hans-Georg Dulz;26;fwd;NA;0;1963;0;0;NA;Hamburger SV;Eintracht Braunschweig;ablösefrei
VfR Neumünster;Eintracht Braunschweig;38;Peter Kaack;19;def;NA;0;1963;0;0;NA;VfR Neumünster;Eintracht Braunschweig;ablösefrei
VfB Lohberg;Eintracht Braunschweig;39;Dieter Paulsberg;21;fwd;NA;0;1963;0;0;NA;VfB Lohberg;Eintracht Braunschweig;ablösefrei
Unbekannt;Eintracht Braunschweig;40;Lothar Weschke;19;fwd;NA;NA;1963;0;0;NA;Unbekannt;Eintracht Braunschweig;?
1.FC Saarbrücken;Eintracht Braunschweig;41;Erich Maas;22;fwd;NA;NA;1963;0;0;NA;1.FC Saarbrücken;Eintracht Braunschweig;?
RSV Braunschweig;Eintracht Braunschweig;42;Wolf-Rüdiger Krause;18;fwd;NA;NA;1963;0;0;NA;RSV Braunschweig;Eintracht Braunschweig;?
Eintracht Braunschweig;VfV Hildesheim;43;Klaus Blumenberg;21;fwd;NA;NA;1963;0;0;NA;Eintracht Braunschweig;VfV Hildesheim;?
Schwarz-Weiß Essen;Eintracht Frankfurt;44;Horst Trimhold;22;mid;NA;NA;1963;0;0;NA;Schwarz-Weiß Essen;Eintracht Frankfurt;?
1.FC Schweinfurt 05;Eintracht Frankfurt;45;Helmut Kraus;24;fwd;NA;NA;1963;0;0;NA;1.FC Schweinfurt 05;Eintracht Frankfurt;?
AS Rom;Eintracht Frankfurt;46;Wilhelm Huberts;25;def;NA;NA;1963;0;0;NA;AS Rom;Eintracht Frankfurt;?
Eintracht Frankfurt;VfR Wormatia Worms;47;Dieter Kraft;23;fwd;NA;NA;1963;0;0;NA;Eintracht Frankfurt;VfR Wormatia Worms;?
Eintracht Frankfurt;Alemannia Aachen;48;Erich Hahn;26;fwd;NA;NA;1963;0;0;NA;Eintracht Frankfurt;Alemannia Aachen;?
Eintracht Frankfurt;Karriereende;49;Adolf Bechtold;k. A.;def;NA;0;1963;0;0;NA;Eintracht Frankfurt;Karriereende;-
Karlsruher SC;FC Schalke 04;50;Hans-Georg Lambert;23;def;NA;25000;1963;0;0;NA;Karlsruher SC;FC Schalke 04;25 Tsd. €
Karlsruher SC;FC Schalke 04;51;Günter Herrmann;23;mid;NA;25000;1963;0;0;NA;Karlsruher SC;FC Schalke 04;25 Tsd. €
SC Viktoria Köln;FC Schalke 04;52;Klaus Matischak;24;fwd;NA;NA;1963;0;0;NA;SC Viktoria Köln;FC Schalke 04;?
FC Schalke 04;FC Schalke 04;53;Karl-Heinz Bechmann;19;mid;NA;0;1963;0;0;NA;FC Schalke 04 U19;FC Schalke 04;-
FC Schalke 04;FC Schalke 04;54;Uwe Kleina;18;def;NA;0;1963;0;0;NA;FC Schalke 04 U19;FC Schalke 04;-
FC Schalke 04;FC Schalke 04;55;Harald Klose;18;fwd;NA;0;1963;0;0;NA;FC Schalke 04 U19;FC Schalke 04;-
FC Schalke 04;FC Bayern München;56;Werner Ipta;21;mid;NA;NA;1963;0;0;NA;FC Schalke 04;FC Bayern München;?
FC Schalke 04;DVV Go Ahead;57;Willi Kraus;20;fwd;NA;NA;1963;0;0;NA;FC Schalke 04;DVV Go Ahead;?
FC Schalke 04;Hannover 96;58;Walter Rodekamp;22;fwd;NA;NA;1963;0;0;NA;FC Schalke 04;Hannover 96;?
FC Schalke 04;VfR 06 Neuss;59;Klaus Schonz;22;gkp;NA;NA;1963;0;0;NA;FC Schalke 04;VfR 06 Neuss;?
Holstein Kiel;Hamburger SV;60;Fritz Boyens;20;fwd;NA;NA;1963;0;0;NA;Holstein Kiel;Hamburger SV;?
FC Bayern München;Hamburger SV;61;Willi Giesemann;25;mid;NA;NA;1963;0;0;NA;FC Bayern München;Hamburger SV;?
Hamburger SV;Hamburger SV;62;Peter Woldmann;20;fwd;NA;0;1963;0;0;NA;Hamburger SV II;Hamburger SV;-
Hamburger SV;Hamburger SV;63;Bernd Dörfel;18;fwd;NA;0;1963;0;0;NA;Hamburger SV U19;Hamburger SV;-
Hamburger SV;Hamburger SV;64;Claus Vogler;20;fwd;NA;0;1963;0;0;NA;Hamburger SV II;Hamburger SV;-
Hamburger SV;Eintracht Braunschweig;65;Hans-Georg Dulz;26;fwd;NA;0;1963;0;0;NA;Hamburger SV;Eintracht Braunschweig;ablösefrei
Hamburger SV;ASV Bergedorf 85;66;Peter Haack;21;fwd;NA;0;1963;0;0;NA;Hamburger SV;ASV Bergedorf 85;ablösefrei
Hamburger SV;ASV Bergedorf 85;67;Klaus Neisner;27;fwd;NA;0;1963;0;0;NA;Hamburger SV;ASV Bergedorf 85;ablösefrei
Hamburger SV;KSV Hessen Kassel;68;Rolf Fritzsche;29;mid;NA;NA;1963;0;0;NA;Hamburger SV;KSV Hessen Kassel;?
Hamburger SV;Karriereende;69;Jürgen Werner;27;mid;NA;0;1963;0;0;NA;Hamburger SV;Karriereende;-
Rot-Weiss Essen;Hertha BSC;70;Otto Rehhagel;24;def;NA;0;1963;0;0;NA;Rot-Weiss Essen;Hertha BSC;ablösefrei
Preußen Münster;Hertha BSC;71;Harald Beyer;23;fwd;NA;NA;1963;0;0;NA;Preußen Münster;Hertha BSC;?
Unbekannt;Hertha BSC;72;Karl-Heinz Wiegel;k. A.;def;NA;NA;1963;0;0;NA;Unbekannt;Hertha BSC;?
SC Viktoria Köln;Hertha BSC;73;Carl-Heinz Rühl;23;fwd;NA;NA;1963;0;0;NA;SC Viktoria Köln;Hertha BSC;?
Bayer 04 Leverkusen;Hertha BSC;74;Uwe Klimaschefski;24;mid;NA;NA;1963;0;0;NA;Bayer 04 Leverkusen;Hertha BSC;?
Unbekannt;Hertha BSC;75;Klaus Scheinig;21;fwd;NA;NA;1963;0;0;NA;Unbekannt;Hertha BSC;?
Unbekannt;Hertha BSC;76;Lothar Philipp;k. A.;def;NA;NA;1963;0;0;NA;Unbekannt;Hertha BSC;?
Hertha BSC;Spandauer SV;77;Werner Lange;26;fwd;NA;NA;1963;0;0;NA;Hertha BSC;Spandauer SV;?
BWW Langenbochum;Karlsruher SC;78;Gerhard Kentschke;20;mid;NA;0;1963;0;0;NA;BWW Langenbochum;Karlsruher SC;ablösefrei
VfB Marburg;Karlsruher SC;79;Klaus Zaczyk;18;mid;NA;NA;1963;0;0;NA;VfB Marburg;Karlsruher SC;?
1.FC Passau;Karlsruher SC;80;Hartmann Madl;23;fwd;NA;NA;1963;0;0;NA;1.FC Passau;Karlsruher SC;?
Schwaben Augsburg;Karlsruher SC;81;Erwin Metzger;23;fwd;NA;NA;1963;0;0;NA;Schwaben Augsburg;Karlsruher SC;?
FC Bayern Hof;Karlsruher SC;82;Siegfried Stark;23;mid;NA;NA;1963;0;0;NA;FC Bayern Hof;Karlsruher SC;?
Unbekannt;Karlsruher SC;83;Dieter Meinzer;k. A.;def;NA;NA;1963;0;0;NA;Unbekannt;Karlsruher SC;?
Karlsruher SC;Karlsruher SC;84;Willi Dürrschnabel;18;mid;NA;0;1963;0;0;NA;Karlsruher SC U19;Karlsruher SC;-
Karlsruher SC;FC Schalke 04;85;Hans-Georg Lambert;23;def;NA;25000;1963;0;0;NA;Karlsruher SC;FC Schalke 04;25 Tsd. €
Karlsruher SC;FC Schalke 04;86;Günter Herrmann;23;mid;NA;25000;1963;0;0;NA;Karlsruher SC;FC Schalke 04;25 Tsd. €
Karlsruher SC;TuRa 1882 Ludwigshafen;87;Reinhold Nedoschil;23;fwd;NA;NA;1963;0;0;NA;Karlsruher SC;TuRa 1882 Ludwigshafen;?
SC Enschede;Meidericher SV;88;Helmut Rahn;33;fwd;NA;NA;1963;0;0;NA;SC Enschede;Meidericher SV;?
Bayer 04 Leverkusen;Meidericher SV;89;Heinz Höher;24;fwd;NA;NA;1963;0;0;NA;Bayer 04 Leverkusen;Meidericher SV;?
VfB Fichte Bielefeld;Meidericher SV;90;Erich Staude;25;gkp;NA;NA;1963;0;0;NA;VfB Fichte Bielefeld;Meidericher SV;?
Bayer 04 Leverkusen;Meidericher SV;91;Manfred Manglitz;23;gkp;NA;NA;1963;0;0;NA;Bayer 04 Leverkusen;Meidericher SV;?
Meidericher SV;TuS Duisburg 48/99;92;Friedhelm Vos;24;fwd;NA;0;1963;0;0;NA;Meidericher SV;TuS Duisburg 48/99;ablösefrei
Meidericher SV;Karriereende;93;Kurt Neumann;39;mid;NA;0;1963;0;0;NA;Meidericher SV;Karriereende;-
FK Vojvodina Novi Sad;TSV 1860 München;94;Stevan Bena;28;mid;NA;NA;1963;0;0;NA;FK Vojvodina Novi Sad;TSV 1860 München;?
FC Bayern München;TSV 1860 München;95;Peter Grosser;24;mid;NA;NA;1963;0;0;NA;FC Bayern München;TSV 1860 München;?
SpVgg Lindau 1919;TSV 1860 München;96;Rolf Thommes;19;fwd;NA;NA;1963;0;0;NA;SpVgg Lindau 1919;TSV 1860 München;?
Kickers Offenbach;TSV 1860 München;97;Engelbert Kraus;28;fwd;NA;NA;1963;0;0;NA;Kickers Offenbach;TSV 1860 München;?
SC Westfalia Herne;TSV 1860 München;98;Otto Luttrop;24;mid;NA;NA;1963;0;0;NA;SC Westfalia Herne;TSV 1860 München;?
TSV 1860 München;Unbekannt;99;Fritz Hernleben;22;gkp;NA;NA;1963;0;0;NA;TSV 1860 München;Unbekannt;?
TSV 1860 München;FC Wacker München;100;Hubert Hampel;28;mid;NA;NA;1963;0;0;NA;TSV 1860 München;FC Wacker München;?
Unbekannt;VfB Stuttgart;101;Friedrich Zipperer;24;fwd;NA;NA;1963;0;0;NA;Unbekannt;VfB Stuttgart;?
VfR Mannheim;VfB Stuttgart;102;Hans Arnold;22;mid;NA;NA;1963;0;0;NA;VfR Mannheim;VfB Stuttgart;?
AC Mantova;VfB Stuttgart;103;Rolf Geiger;28;fwd;NA;NA;1963;0;0;NA;AC Mantova;VfB Stuttgart;?
SP Ars et Labor;VfB Stuttgart;104;Erwin Waldner;30;fwd;NA;NA;1963;0;0;NA;SP Ars et Labor;VfB Stuttgart;?
FSV Frankfurt;VfB Stuttgart;105;Gerd Menne;23;def;NA;NA;1963;0;0;NA;FSV Frankfurt;VfB Stuttgart;?
VfB Stuttgart;VfB Stuttgart;106;Siegfried Böhringer;22;mid;NA;0;1963;0;0;NA;VfB Stuttgart II;VfB Stuttgart;-
VfB Stuttgart;Unbekannt;107;Lothar Weise;28;fwd;NA;NA;1963;0;0;NA;VfB Stuttgart;Unbekannt;?
VfB Stuttgart;Karriereende;108;Gerhard Strohmaier;29;mid;NA;0;1963;0;0;NA;VfB Stuttgart;Karriereende;-
VfB Stuttgart;VfB Stuttgart;109;Erich Neupert;28;def;NA;0;1963;0;0;NA;VfB Stuttgart;VfB Stuttgart II;-
VfB Bottrop;SV Werder Bremen;110;Diethelm Ferner;21;mid;NA;0;1963;0;0;NA;VfB Bottrop;SV Werder Bremen;ablösefrei
1.FC Schweinfurt 05;SV Werder Bremen;111;Günter Bernard;23;gkp;NA;NA;1963;0;0;NA;1.FC Schweinfurt 05;SV Werder Bremen;?
Schwarz-Weiß Essen;SV Werder Bremen;112;Theo Klöckner;28;fwd;NA;NA;1963;0;0;NA;Schwarz-Weiß Essen;SV Werder Bremen;?
1.FC Saarbrücken;SV Werder Bremen;113;Wolfgang Schwierzke;26;def;NA;NA;1963;0;0;NA;1.FC Saarbrücken;SV Werder Bremen;?
1.FC Schweinfurt 05;SV Werder Bremen;114;Heinz Sidon;25;mid;NA;NA;1963;0;0;NA;1.FC Schweinfurt 05;SV Werder Bremen;?
SV Werder Bremen;SV Werder Bremen;115;Wolfgang Bordel;23;def;NA;0;1963;0;0;NA;SV Werder Bremen II;SV Werder Bremen;-
pausiert;SV Werder Bremen;116;Dragan Ilic;37;gkp;NA;0;1963;0;0;NA;pausiert;SV Werder Bremen;-
SV Werder Bremen;TuS Bremerhaven 1893;117;Willi Schröder;34;fwd;NA;NA;1963;0;0;NA;SV Werder Bremen;TuS Bremerhaven 1893;?
SV Werder Bremen;Karriereende;118;Heinrich Kokartis;29;gkp;NA;0;1963;0;0;NA;SV Werder Bremen;Karriereende;-
Freiburger FC;Preußen Münster;119;Karl-Heinz Bente;21;mid;NA;NA;1963;0;0;NA;Freiburger FC;Preußen Münster;?
BVH Dorsten;Preußen Münster;120;Dieter Feller;20;gkp;NA;NA;1963;0;0;NA;BVH Dorsten;Preußen Münster;?
Schwarz-Weiß Essen;Preußen Münster;121;Manfred Rummel;25;fwd;NA;NA;1963;0;0;NA;Schwarz-Weiß Essen;Preußen Münster;?
SpVgg Amicitia Viernheim;Preußen Münster;122;Karl-Heinz Kiß;22;fwd;NA;NA;1963;0;0;NA;SpVgg Amicitia Viernheim;Preußen Münster;?
Preußen Münster;Preußen Münster;123;Heinz-Rüdiger Voß;20;def;NA;0;1963;0;0;NA;Preußen Münster II;Preußen Münster;-
Preußen Münster;Hertha BSC;124;Harald Beyer;23;fwd;NA;NA;1963;0;0;NA;Preußen Münster;Hertha BSC;?
Preußen Münster;Hannover 96;125;Eberhard Herbst;22;fwd;NA;NA;1963;0;0;NA;Preußen Münster;Hannover 96;?
Preußen Münster;Itzehoer SV;126;Gerhard Krogh;23;fwd;NA;NA;1963;0;0;NA;Preußen Münster;Itzehoer SV;?
Preußen Münster;Karriereende;127;Manfred Kreß;26;fwd;NA;0;1963;0;0;NA;Preußen Münster;Karriereende;-
FK Pirmasens;1.FC Kaiserslautern;128;Helmut Kapitulski;29;fwd;NA;NA;1964;0;0;NA;FK Pirmasens;1.FC Kaiserslautern;?
FV Geisenheim;1.FC Kaiserslautern;129;Wilfried Leydecker;22;fwd;NA;NA;1964;0;0;NA;FV Geisenheim;1.FC Kaiserslautern;?
VfR Kaiserslautern;1.FC Kaiserslautern;130;Dietmar Schwager;23;def;NA;NA;1964;0;0;NA;VfR Kaiserslautern;1.FC Kaiserslautern;?
1.FC Kaiserslautern;SV Darmstadt 98;131;Hermann Diehl;28;def;NA;NA;1964;0;0;NA;1.FC Kaiserslautern;SV Darmstadt 98;?
1.FC Kaiserslautern;1.FC Saarbrücken;132;Walter Gawletta;28;fwd;NA;NA;1964;0;0;NA;1.FC Kaiserslautern;1.FC Saarbrücken;?
1.FC Kaiserslautern;TSC Zweibrücken;133;Dieter Schönborn;24;def;NA;NA;1964;0;0;NA;1.FC Kaiserslautern;TSC Zweibrücken;?
Borussia Mönchengladbach;SV Werder Bremen;134;Horst-Dieter Höttges;20;def;NA;25000;1964;0;0;NA;Borussia Mönchengladbach;SV Werder Bremen;25 Tsd. €
FC Schalke 04;SV Werder Bremen;135;Klaus Matischak;25;fwd;NA;NA;1964;0;0;NA;FC Schalke 04;SV Werder Bremen;?
1.FC Saarbrücken;SV Werder Bremen;136;Heinz Steinmann;26;def;NA;NA;1964;0;0;NA;1.FC Saarbrücken;SV Werder Bremen;?
SV Werder Bremen;SV Werder Bremen;137;Hans Schulz;21;mid;NA;0;1964;0;0;NA;SV Werder Bremen II;SV Werder Bremen;-
SV Werder Bremen;ASV Bergedorf 85;138;Dieter Meyer;24;fwd;NA;0;1964;0;0;NA;SV Werder Bremen;ASV Bergedorf 85;ablösefrei
SV Werder Bremen;SV Eintracht Trier 05;139;Wolfgang Schwierzke;27;def;NA;NA;1964;0;0;NA;SV Werder Bremen;SV Eintracht Trier 05;?
SV Werder Bremen;Karriereende;140;Dragan Ilic;38;gkp;NA;0;1964;0;0;NA;SV Werder Bremen;Karriereende;-
Fortuna Düsseldorf;VfB Stuttgart;141;Werner Pfeifer;22;gkp;NA;NA;1964;0;0;NA;Fortuna Düsseldorf;VfB Stuttgart;?
TSG Ulm 1846;VfB Stuttgart;142;Helmut Siebert;22;fwd;NA;NA;1964;0;0;NA;TSG Ulm 1846;VfB Stuttgart;?
KSV Hessen Kassel;VfB Stuttgart;143;Helmut Huttary;20;fwd;NA;NA;1964;0;0;NA;KSV Hessen Kassel;VfB Stuttgart;?
VfB Stuttgart;VfB Stuttgart;144;Hartmut Weiß;22;fwd;NA;0;1964;0;0;NA;VfB Stuttgart II;VfB Stuttgart;-
VfB Stuttgart;VfB Stuttgart;145;Hans Krauß;21;fwd;NA;0;1964;0;0;NA;VfB Stuttgart II;VfB Stuttgart;-
VfB Stuttgart;SV Waldhof Mannheim;146;Friedrich Zipperer;25;fwd;NA;NA;1964;0;0;NA;VfB Stuttgart;SV Waldhof Mannheim;?
VfB Stuttgart;Karriereende;147;Oskar Hartl;34;def;NA;0;1964;0;0;NA;VfB Stuttgart;Karriereende;-
Unbekannt;TSV 1860 München;148;Hans Fischer;k. A.;fwd;NA;NA;1964;0;0;NA;Unbekannt;TSV 1860 München;?
Unbekannt;TSV 1860 München;149;Ernst Winterhalder;k. A.;fwd;NA;NA;1964;0;0;NA;Unbekannt;TSV 1860 München;?
Beckumer SV;TSV 1860 München;150;Wilfried Tepe;23;gkp;NA;NA;1964;0;0;NA;Beckumer SV;TSV 1860 München;?
Standard Lüttich;TSV 1860 München;151;Bernd Patzke;21;def;NA;NA;1964;0;0;NA;Standard Lüttich;TSV 1860 München;?
SC Westfalia Herne;TSV 1860 München;152;Alfred Pyka;28;def;NA;NA;1964;0;0;NA;SC Westfalia Herne;TSV 1860 München;?
BC Augsburg;TSV 1860 München;153;Reinhard Jung;18;fwd;NA;NA;1964;0;0;NA;BC Augsburg;TSV 1860 München;?
TSV 1860 München;Schwaben Augsburg;154;Hans Auernhammer;30;fwd;NA;NA;1964;0;0;NA;TSV 1860 München;Schwaben Augsburg;?
TSV 1860 München;Freiburger FC;155;Werner Anzill;24;fwd;NA;NA;1964;0;0;NA;TSV 1860 München;Freiburger FC;?
TSV 1860 München;SSV Reutlingen 05;156;Rolf Thommes;20;fwd;NA;NA;1964;0;0;NA;TSV 1860 München;SSV Reutlingen 05;?
TSV 1860 München;Kickers Offenbach;157;Alfons Stemmer;30;def;NA;NA;1964;0;0;NA;TSV 1860 München;Kickers Offenbach;?
TSV 1860 München;Karriereende;158;Günther Rahm;29;def;NA;0;1964;0;0;NA;TSV 1860 München;Karriereende;-
TSV Marl-Hüls;Meidericher SV;159;Heinz van Haaren;24;mid;NA;NA;1964;0;0;NA;TSV Marl-Hüls;Meidericher SV;?
STV Horst-Emscher-Husaren;Meidericher SV;160;Rudolf Schmidt;23;fwd;NA;NA;1964;0;0;NA;STV Horst-Emscher-Husaren;Meidericher SV;?
Clube Esportivo Aimoré (RS);Meidericher SV;161;Raoul Tagliari;23;fwd;NA;NA;1964;0;0;NA;Clube Esportivo Aimoré (RS);Meidericher SV;?
MSV Duisburg;Meidericher SV;162;Michael Bella;18;def;NA;0;1964;0;0;NA;MSV Duisburg U19;Meidericher SV;-
MSV Duisburg;Meidericher SV;163;Friedhelm Bruns;24;fwd;NA;0;1964;0;0;NA;MSV Duisburg II;Meidericher SV;-
MSV Duisburg;Meidericher SV;164;Rüdiger Mielke;19;fwd;NA;0;1964;0;0;NA;MSV Duisburg U19;Meidericher SV;-
Meidericher SV;Arminia Bielefeld;165;Uwe Erich;26;fwd;NA;NA;1964;0;0;NA;Meidericher SV;Arminia Bielefeld;?
Meidericher SV;Sportfreunde 05 Saarbrücken;166;Kurt Gorgs;25;def;NA;NA;1964;0;0;NA;Meidericher SV;Sportfreunde 05 Saarbrücken;?
Meidericher SV;Arminia Bielefeld;167;Gustav Walenciak;24;fwd;NA;NA;1964;0;0;NA;Meidericher SV;Arminia Bielefeld;?
Meidericher SV;Rot-Weiß Oberhausen;168;Werner Kubek;26;fwd;NA;NA;1964;0;0;NA;Meidericher SV;Rot-Weiß Oberhausen;?
SC Westfalia Herne;Karlsruher SC;169;Hans Cieslarczyk;27;fwd;NA;0;1964;0;0;NA;SC Westfalia Herne;Karlsruher SC;ablösefrei
TuS Bremerhaven 1893;Karlsruher SC;170;Horst-Dieter Berking;24;fwd;NA;NA;1964;0;0;NA;TuS Bremerhaven 1893;Karlsruher SC;?
Unbekannt;Karlsruher SC;171;Udo Glaser;18;fwd;NA;NA;1964;0;0;NA;Unbekannt;Karlsruher SC;?
KSV Hessen Kassel;Karlsruher SC;172;Klaus-Peter Jendrosch;25;fwd;NA;NA;1964;0;0;NA;KSV Hessen Kassel;Karlsruher SC;?
Unbekannt;Karlsruher SC;173;Hans-Peter Lamparth;17;fwd;NA;NA;1964;0;0;NA;Unbekannt;Karlsruher SC;?
Karlsruher SC;Phönix Bellheim;174;Gerhard Helm;25;def;NA;NA;1964;0;0;NA;Karlsruher SC;Phönix Bellheim;?
Karlsruher SC;Phönix Bellheim;175;Horst Hotz;23;def;NA;NA;1964;0;0;NA;Karlsruher SC;Phönix Bellheim;?
Karlsruher SC;Unbekannt;176;Joachim Thimm;24;fwd;NA;NA;1964;0;0;NA;Karlsruher SC;Unbekannt;?
Karlsruher SC;Unbekannt;177;Dieter Meinzer;k. A.;def;NA;NA;1964;0;0;NA;Karlsruher SC;Unbekannt;?
Karlsruher SC;Karriereende;178;Heinz Ruppenstein;33;mid;NA;0;1964;0;0;NA;Karlsruher SC;Karriereende;-
TSG Ulm 1846;Hertha BSC;179;Wolfgang Fahrian;23;gkp;NA;0;1964;0;0;NA;TSG Ulm 1846;Hertha BSC;ablösefrei
FC Luzern;Hertha BSC;180;Kurt Schulz;27;fwd;NA;NA;1964;0;0;NA;FC Luzern;Hertha BSC;?
Unbekannt;Hertha BSC;181;Michael Krampitz;21;fwd;NA;NA;1964;0;0;NA;Unbekannt;Hertha BSC;?
SC Viktoria Köln;Hertha BSC;182;Willibert Kremer;24;fwd;NA;NA;1964;0;0;NA;SC Viktoria Köln;Hertha BSC;?
SC Viktoria Köln;Hertha BSC;183;Jürgen Sundermann;24;def;NA;NA;1964;0;0;NA;SC Viktoria Köln;Hertha BSC;?
Hertha BSC;Borussia Dortmund;184;Harald Beyer;24;fwd;NA;NA;1964;0;0;NA;Hertha BSC;Borussia Dortmund;?
Hertha BSC;Unbekannt;185;Karl-Heinz Wiegel;k. A.;def;NA;NA;1964;0;0;NA;Hertha BSC;Unbekannt;?
