source;target;number;playerName;age;position;value;transferFee;season;loanEnd;loanStart;loanFee;sourceOriginal;targetOriginal;transferFeeOriginal
Borussia Dortmund;FC St. Pauli;6504;Robert Nikolic;22;def;NA;200000;1991;0;0;NA;Borussia Dortmund;FC St. Pauli;200 Tsd. €
Borussia Dortmund;SG Wattenscheid 09;6505;Andreas Müller;19;mid;NA;100000;1991;0;0;NA;Borussia Dortmund;SG Wattenscheid 09;100 Tsd. €
Borussia Dortmund;SV Waldhof Mannheim;6506;Stefan Strerath;24;mid;NA;NA;1991;0;0;NA;Borussia Dortmund;SV Waldhof Mannheim;?
Borussia Dortmund;Karriereende;6507;Rolf Meyer;35;gkp;NA;0;1991;0;0;NA;Borussia Dortmund;Karriereende;-
SV Waldhof Mannheim;Bayer 04 Leverkusen;6508;Christian Wörns;19;def;NA;950000;1991;0;0;NA;SV Waldhof Mannheim;Bayer 04 Leverkusen;950 Tsd. €
Preußen Münster;Bayer 04 Leverkusen;6509;Markus Happe;19;def;NA;100000;1991;0;0;NA;Preußen Münster;Bayer 04 Leverkusen;100 Tsd. €
SV 98 Schwetzingen;Bayer 04 Leverkusen;6510;Stephan Hanke;18;mid;NA;20000;1991;0;0;NA;SV 98 Schwetzingen;Bayer 04 Leverkusen;20 Tsd. €
FC Berlin;Bayer 04 Leverkusen;6511;René Rydlewicz;17;mid;NA;NA;1991;0;0;NA;FC Berlin;Bayer 04 Leverkusen;?
VfL Bochum;Bayer 04 Leverkusen;6512;Josef Nehl;30;mid;NA;NA;1991;0;0;NA;VfL Bochum;Bayer 04 Leverkusen;?
Bayer 04 Leverkusen;Fortuna Düsseldorf;6513;Christian Schreier;32;mid;NA;250000;1991;0;0;NA;Bayer 04 Leverkusen;Fortuna Düsseldorf;250 Tsd. €
Bayer 04 Leverkusen;SG Dynamo Dresden;6514;Oliver Pagé;20;def;NA;190000;1991;0;0;NA;Bayer 04 Leverkusen;SG Dynamo Dresden;190 Tsd. €
Bayer 04 Leverkusen;VfL Hamm/Sieg;6515;Thomas Hörster;34;def;NA;0;1991;0;0;NA;Bayer 04 Leverkusen;VfL Hamm/Sieg;ablösefrei
Bayer 04 Leverkusen;FC Remscheid;6516;Marco Schröder;25;fwd;NA;NA;1991;0;0;NA;Bayer 04 Leverkusen;FC Remscheid;?
Bayer 04 Leverkusen;Borussia Dortmund;6517;Knut Reinhardt;23;mid;NA;NA;1991;0;0;NA;Bayer 04 Leverkusen;Borussia Dortmund;?
Bayer 04 Leverkusen;FC Bayern München;6518;Alois Reinhardt;29;def;NA;NA;1991;0;0;NA;Bayer 04 Leverkusen;FC Bayern München;?
FC St. Pauli;1.FC Nürnberg;6519;André Golke;26;mid;NA;900000;1991;0;0;NA;FC St. Pauli;1.FC Nürnberg;900 Tsd. €
Stuttgarter Kickers;1.FC Nürnberg;6520;Dirk Fengler;21;mid;NA;500000;1991;0;0;NA;Stuttgarter Kickers;1.FC Nürnberg;500 Tsd. €
1.FC Kaiserslautern;1.FC Nürnberg;6521;Kay Friedmann;28;def;NA;400000;1991;0;0;NA;1.FC Kaiserslautern;1.FC Nürnberg;400 Tsd. €
Bayer 05 Uerdingen;1.FC Nürnberg;6522;Rainer Zietsch;26;def;NA;350000;1991;0;0;NA;Bayer 05 Uerdingen;1.FC Nürnberg;350 Tsd. €
VfB Stuttgart;1.FC Nürnberg;6523;Jens Krinke;19;mid;NA;25000;1991;0;0;NA;VfB Stuttgart II;1.FC Nürnberg;25 Tsd. €
SpVgg 07 Ludwigsburg;1.FC Nürnberg;6524;Markus Bäurle;21;mid;NA;20000;1991;0;0;NA;SpVgg 07 Ludwigsburg;1.FC Nürnberg;20 Tsd. €
1.FC Nürnberg;VfL Bochum;6525;Frank Türr;20;fwd;NA;400000;1991;0;0;NA;1.FC Nürnberg;VfL Bochum;400 Tsd. €
1.FC Nürnberg;FC U Craiova 1948;6526;Stefan Crisan;22;gkp;NA;0;1991;0;0;NA;1.FC Nürnberg;FC U Craiova 1948;ablösefrei
1.FC Nürnberg;1.FSV Mainz 05;6527;Vlado Kasalo;28;def;NA;0;1991;0;0;NA;1.FC Nürnberg;1.FSV Mainz 05;ablösefrei
1.FC Nürnberg;Hertha BSC;6528;Uli Bayerschmidt;24;def;NA;NA;1991;0;0;NA;1.FC Nürnberg;Hertha BSC;?
1.FC Nürnberg;Unbekannt;6529;Ralf Dusend;31;def;NA;NA;1991;0;0;NA;1.FC Nürnberg;Unbekannt;?
1.FC Nürnberg;Hertha BSC;6530;Christian Hausmann;27;fwd;NA;NA;1991;0;0;NA;1.FC Nürnberg;Hertha BSC;?
1.FC Nürnberg;Eintracht Braunschweig;6531;Ulf Metschies;27;mid;NA;NA;1991;0;0;NA;1.FC Nürnberg;Eintracht Braunschweig;?
Chemnitzer FC;1.FC Köln;6532;Rico Steinmann;23;mid;NA;1400000;1991;0;0;NA;Chemnitzer FC;1.FC Köln;1,40 Mio. €
FC Hansa Rostock;1.FC Köln;6533;Henri Fuchs;21;fwd;NA;1250000;1991;0;0;NA;FC Hansa Rostock;1.FC Köln;1,25 Mio. €
FC St. Pauli;1.FC Köln;6534;André Trulsen;26;def;NA;650000;1991;0;0;NA;FC St. Pauli;1.FC Köln;650 Tsd. €
1.FC Saarbrücken;1.FC Köln;6535;Adrian Spyrka;23;mid;NA;600000;1991;0;0;NA;1.FC Saarbrücken;1.FC Köln;600 Tsd. €
KV Mechelen;1.FC Köln;6536;Peter Müller;21;mid;NA;NA;1991;0;0;NA;KV Mechelen;1.FC Köln;?
1.FC Köln;1.FC Köln;6537;Alexander Bade;20;gkp;NA;0;1991;0;0;NA;1.FC Köln II;1.FC Köln;-
1.FC Köln;1.FC Köln;6538;Sascha Häßler;18;mid;NA;0;1991;0;0;NA;1.FC Köln U19;1.FC Köln;-
Borussia Mönchengladbach;1.FC Köln;6539;Hans-Georg Dreßen;26;mid;NA;0;1991;1;0;NA;Borussia Mönchengladbach;1.FC Köln;Leih-Ende30.06.1991
1.FC Köln;MSV Duisburg;6540;Andreas Gielchen;26;def;NA;250000;1991;0;0;NA;1.FC Köln;MSV Duisburg;250 Tsd. €
1.FC Köln;Bröndby IF;6541;Andrzej Rudy;26;mid;NA;0;1991;0;1;NA;1.FC Köln;Bröndby IF;Leihe
1.FC Köln;Brann Bergen;6542;Anders Giske;32;def;NA;0;1991;0;0;NA;1.FC Köln;Brann Bergen;ablösefrei
1.FC Köln;SC Fortuna Köln;6543;Axel Britz;22;def;NA;0;1991;0;0;NA;1.FC Köln;SC Fortuna Köln;ablösefrei
1.FC Köln;Stuttgarter Kickers;6544;Adrian Spyrka;24;mid;NA;0;1991;0;1;NA;1.FC Köln;Stuttgarter Kickers;Leihe
1.FC Köln;Karriereende;6545;Volker Diergardt;33;gkp;NA;0;1991;0;0;NA;1.FC Köln;Karriereende;-
1.FC Köln;Karriereende;6546;Paul Steiner;34;def;NA;0;1991;0;0;NA;1.FC Köln;Karriereende;-
Fortuna Düsseldorf;FC Schalke 04;6547;Antoine Hey;21;mid;NA;0;1992;0;0;NA;Fortuna Düsseldorf;FC Schalke 04;ablösefrei
